dtype,enzyme,model,scaler,split,tp,fp,tn,fn,val_accuracy,val_precision,val_recall,val_f1,auc,mcc,val_loss,train_time,prediction_time
PC,IN,cnn,std,1,1011,162,1123,52,0.9088586030664395,0.8618925831202046,0.9510818438381938,0.9042933810375671,0.912505902463844,0.8213162575555609,3.285068920473199,218.67404174804688,1.1215081214904785
PC,IN,cnn,std,2,1015,285,1000,48,0.8581771720613288,0.7807692307692308,0.9548447789275635,0.8590774439272112,0.8665274478295405,0.7340106767659405,5.1118128528858655,214.12734842300415,0.786597728729248
PC,IN,cnn,std,3,998,180,1105,65,0.895655877342419,0.8471986417657046,0.9388523047977423,0.890673806336457,0.8993872418930347,0.7952007907002623,3.7609433902613723,222.52397632598877,0.833106279373169
PC,IN,cnn,std,4,994,169,1116,69,0.8986371379897785,0.8546861564918314,0.9350893697083725,0.8930817610062893,0.9017859299903731,0.8000071776368793,3.6534878648253333,220.8645281791687,0.8147330284118652
PC,IN,cnn,minmax,1,1022,157,1128,41,0.9156729131175468,0.8668363019508057,0.9614299153339605,0.911685994647636,0.9196254635035561,0.8354988714250042,3.0394562909051093,217.14576840400696,0.8407866954803467
PC,IN,cnn,minmax,2,974,92,1193,89,0.9229131175468483,0.9136960600375235,0.916274694261524,0.9149835603569751,0.9223396817611121,0.8444762989155267,2.778492871989014,220.14434099197388,0.8341226577758789
PC,IN,cnn,minmax,3,1024,136,1149,39,0.9254684838160137,0.8827586206896552,0.9633113828786454,0.9212775528565003,0.9287374035015795,0.8536942382515006,2.6863881359009802,221.9173936843872,0.7899281978607178
PC,IN,cnn,minmax,4,991,143,1142,72,0.9084327086882453,0.8738977072310405,0.9322671683913453,0.9021392808375057,0.910491560849369,0.8177801301297731,3.3004197098212047,223.02814745903015,0.832298755645752
PC,PR,cnn,std,1,1906,36,114,13,0.9763170613823103,0.9814624098867147,0.993225638353309,0.9873089873089873,0.8766128191766545,0.8137326423401622,0.8536196307717452,204.4800045490265,0.9260902404785156
PC,PR,cnn,std,2,1905,22,128,14,0.9826002899951668,0.98858329008822,0.9927045336112559,0.9906396255850234,0.9230189334722946,0.8677365464116066,0.6271491164853639,202.77428913116455,0.7392683029174805
