dtype,enzyme,model,scaler,split,tp,fp,tn,fn,val_accuracy,val_precision,val_recall,val_f1,auc,mcc,val_loss,train_time,prediction_time,criterion,n_estimators
PC,IN,rfc,std,1,1001,34,1251,62,0.959114139693356,0.9671497584541063,0.9416745061147695,0.9542421353670162,0.9576076810729489,0.9175694793565046,1.4736757774085378,0.4937751293182373,0.022937774658203125,gini,100
PC,IN,rfc,std,1,999,34,1251,64,0.9582623509369677,0.9670861568247822,0.9397930385700847,0.9532442748091603,0.9566669473006065,0.9158718986056246,1.5043773561045488,2.465395212173462,0.10571646690368652,gini,500
PC,IN,rfc,std,1,1000,36,1249,63,0.9578364565587735,0.9652509652509652,0.940733772342427,0.9528346831824679,0.9563591040700462,0.9149726560689385,1.5197281454525546,4.841108322143555,0.20844364166259766,gini,1000
PC,IN,rfc,std,1,999,35,1250,64,0.9578364565587735,0.9661508704061895,0.9397930385700847,0.9527896995708155,0.9562778422422409,0.9149968919250276,1.5197281454525544,7.220729112625122,0.31316328048706055,gini,1500
PC,IN,rfc,std,1,998,34,1251,65,0.9578364565587735,0.9670542635658915,0.9388523047977423,0.952744630071599,0.9561965804144353,0.9150238709918185,1.5197281454525546,9.615339517593384,0.41785669326782227,gini,2000
PC,IN,rfc,std,1,996,35,1250,67,0.9565587734241908,0.9660523763336566,0.9369708372530574,0.9512893982808023,0.9548667415837272,0.9124522688051643,1.5657805134965714,0.5983779430389404,0.02193927764892578,entropy,100
PC,IN,rfc,std,1,999,34,1251,64,0.9582623509369677,0.9670861568247822,0.9397930385700847,0.9532442748091603,0.9566669473006065,0.9158718986056246,1.504377356104549,2.9212350845336914,0.10168933868408203,entropy,500
PC,IN,rfc,std,1,998,34,1251,65,0.9578364565587735,0.9670542635658915,0.9388523047977423,0.952744630071599,0.9561965804144353,0.9150238709918185,1.5197281454525549,5.859362602233887,0.20542192459106445,entropy,1000
PC,IN,rfc,std,1,1001,36,1249,62,0.9582623509369677,0.9652844744455159,0.9416745061147695,0.9533333333333334,0.9568294709562175,0.9158230734508516,1.504377356104549,8.764582872390747,0.3111686706542969,entropy,1500
PC,IN,rfc,std,1,1000,36,1249,63,0.9578364565587735,0.9652509652509652,0.940733772342427,0.9528346831824679,0.9563591040700462,0.9149726560689385,1.5197281454525549,11.71473741531372,0.4109311103820801,entropy,2000
PC,IN,rfc,std,1,998,36,1249,65,0.956984667802385,0.965183752417795,0.9388523047977423,0.9518359561278016,0.9554183702977038,0.9132733496331569,1.550429724148566,0.5944161415100098,0.02094292640686035,log_loss,100
PC,IN,rfc,std,1,998,35,1250,65,0.9574105621805792,0.9661181026137464,0.9388523047977423,0.9522900763358778,0.9558074753560697,0.9141481780554637,1.5350789348005605,2.9311795234680176,0.10369324684143066,log_loss,500
PC,IN,rfc,std,1,1001,35,1250,62,0.9586882453151618,0.9662162162162162,0.9416745061147695,0.9537875178656503,0.9572185760145832,0.9166958458133663,1.4890265667565434,5.854375839233398,0.20844173431396484,log_loss,1000
PC,IN,rfc,std,1,999,34,1251,64,0.9582623509369677,0.9670861568247822,0.9397930385700847,0.9532442748091603,0.9566669473006065,0.9158718986056246,1.5043773561045488,8.796555280685425,0.31017136573791504,log_loss,1500
PC,IN,rfc,std,1,1002,34,1251,61,0.9595400340715503,0.9671814671814671,0.9426152398871119,0.9547403525488328,0.9580780479591202,0.918419035557794,1.4583249880605322,11.700804948806763,0.408902645111084,log_loss,2000
PC,IN,rfc,std,2,994,31,1254,69,0.9574105621805792,0.9697560975609756,0.9350893697083725,0.9521072796934866,0.9554824280448476,0.9142773567707785,1.5350789348005605,0.48670053482055664,0.022937297821044922,gini,100
PC,IN,rfc,std,2,997,30,1255,66,0.959114139693356,0.9707887049659202,0.9379115710253998,0.9540669856459331,0.9572826337617271,0.9176905713196342,1.473675777408538,2.3936097621917725,0.10574746131896973,gini,500
PC,IN,rfc,std,2,994,33,1252,69,0.9565587734241908,0.9678675754625121,0.9350893697083725,0.9511961722488038,0.9547042179281162,0.9125161174376201,1.5657805134965717,4.775253772735596,0.21243047714233398,gini,1000
PC,IN,rfc,std,2,991,33,1252,72,0.9552810902896082,0.9677734375,0.9322671683913453,0.9496885481552467,0.9532931172696026,0.9099831397290155,1.6118328815405882,7.167874574661255,0.3151533603668213,gini,1500
PC,IN,rfc,std,2,993,32,1253,70,0.9565587734241908,0.968780487804878,0.9341486359360301,0.9511494252873564,0.9546229561003108,0.9125521623630757,1.5657805134965717,9.548524379730225,0.42090535163879395,gini,2000
PC,IN,rfc,std,2,994,34,1251,69,0.9561328790459966,0.9669260700389105,0.9350893697083725,0.9507412721186035,0.9543151128697503,0.9116368099802827,1.5811313028445768,0.5964395999908447,0.02191329002380371,entropy,100
PC,IN,rfc,std,2,993,30,1255,70,0.9574105621805792,0.9706744868035191,0.9341486359360301,0.9520613614573347,0.9554011662170422,0.9143165357483773,1.5350789348005605,2.9002585411071777,0.10375189781188965,entropy,500
PC,IN,rfc,std,2,997,35,1250,66,0.956984667802385,0.9660852713178295,0.9379115710253998,0.9517899761336516,0.9553371084698984,0.9132999708587122,1.5504297241485658,5.8443992137908936,0.2044811248779297,entropy,1000
PC,IN,rfc,std,2,993,35,1250,70,0.9552810902896082,0.9659533073929961,0.9341486359360301,0.9497847919655668,0.9534556409252135,0.9099121782443144,1.6118328815405882,8.703802585601807,0.31914710998535156,entropy,1500
PC,IN,rfc,std,2,995,34,1251,68,0.9565587734241908,0.966958211856171,0.9360301034807149,0.9512428298279159,0.9547854797559217,0.9124828208635912,1.5657805134965714,11.622982740402222,0.41289663314819336,entropy,2000
PC,IN,rfc,std,2,991,36,1249,72,0.9540034071550255,0.9649464459591042,0.9322671683913453,0.9483253588516747,0.9521258020945053,0.9073416635556061,1.657885249584605,0.591423749923706,0.020943403244018555,log_loss,100
PC,IN,rfc,std,2,993,32,1253,70,0.9565587734241908,0.968780487804878,0.9341486359360301,0.9511494252873564,0.9546229561003108,0.9125521623630757,1.5657805134965714,2.9032540321350098,0.10472297668457031,log_loss,500
PC,IN,rfc,std,2,993,32,1253,70,0.9565587734241908,0.968780487804878,0.9341486359360301,0.9511494252873564,0.9546229561003108,0.9125521623630757,1.5657805134965712,5.8105223178863525,0.20544743537902832,log_loss,1000
PC,IN,rfc,std,2,995,36,1249,68,0.9557069846678024,0.965082444228904,0.9360301034807149,0.9503342884431709,0.9540072696391901,0.9107281877632384,1.5964820921925826,8.733660221099854,0.30817699432373047,log_loss,1500
PC,IN,rfc,std,2,993,35,1250,70,0.9552810902896082,0.9659533073929961,0.9341486359360301,0.9497847919655668,0.9534556409252135,0.9099121782443144,1.6118328815405882,11.598046779632568,0.4109046459197998,log_loss,2000
PC,IN,rfc,std,3,1005,28,1257,58,0.9633730834752982,0.972894482090997,0.9454374412041392,0.958969465648855,0.9618237789678282,0.9262142219065906,1.3201678839284818,0.5066771507263184,0.021938085556030273,gini,100
PC,IN,rfc,std,3,1006,33,1252,57,0.9616695059625213,0.9682386910490857,0.9463781749764817,0.9571836346336822,0.9603486205621709,0.9226934567311446,1.3815710413205042,2.4055826663970947,0.10773968696594238,gini,500
PC,IN,rfc,std,3,1004,32,1253,59,0.9612436115843271,0.9691119691119691,0.9444967074317968,0.9566460219151978,0.959796991848194,0.9218654150466494,1.3969218306685098,4.785260915756226,0.22539567947387695,gini,1000
PC,IN,rfc,std,3,1005,32,1253,58,0.9616695059625213,0.9691417550626809,0.9454374412041392,0.9571428571428572,0.9602673587343652,0.9227151352623897,1.3815710413205042,7.37135910987854,0.31818103790283203,gini,1500
PC,IN,rfc,std,3,1009,29,1256,54,0.9646507666098807,0.9720616570327553,0.949200376293509,0.9604950023798191,0.9633161414541475,0.9287338996974345,1.274115515884465,9.637252569198608,0.4268605709075928,gini,2000
PC,IN,rfc,std,3,1009,37,1248,54,0.9612436115843271,0.9646271510516252,0.949200376293509,0.9568515884305357,0.9602033009872215,0.9217785268532267,1.3969218306685098,0.5993990898132324,0.02293705940246582,entropy,100
PC,IN,rfc,std,3,1008,35,1250,55,0.9616695059625213,0.9664429530201343,0.9482596425211665,0.9572649572649573,0.9605111442177816,0.9226583706441142,1.3815710413205042,2.9610700607299805,0.10674238204956055,entropy,500
PC,IN,rfc,std,3,1008,31,1254,55,0.9633730834752982,0.9701636188642926,0.9482596425211665,0.9590865842055185,0.9620675644512447,0.9261387983876475,1.320167883928482,5.9002525806427,0.2173910140991211,entropy,1000
PC,IN,rfc,std,3,1005,31,1254,58,0.9620954003407155,0.9700772200772201,0.9454374412041392,0.9575988565983802,0.960656463792731,0.9235886047910772,1.3662202519724989,8.758625745773315,0.3141336441040039,entropy,1500
PC,IN,rfc,std,3,1008,30,1255,55,0.9637989778534923,0.9710982658959537,0.9482596425211665,0.9595430747263208,0.9624566695096104,0.9270110572162183,1.3048170945804765,11.708748817443848,0.41591715812683105,entropy,2000
PC,IN,rfc,std,3,1006,34,1251,57,0.9612436115843271,0.9673076923076923,0.9463781749764817,0.9567284831193533,0.959959515503805,0.9218224017346824,1.39692183066851,0.5934412479400635,0.021912813186645508,log_loss,100
PC,IN,rfc,std,3,1003,32,1253,60,0.9608177172061328,0.9690821256038648,0.9435559736594544,0.9561487130600572,0.9593266249620229,0.9210162100705573,1.4122726200165159,2.921170234680176,0.10372257232666016,log_loss,500
PC,IN,rfc,std,3,1007,32,1253,56,0.9625212947189097,0.9692011549566891,0.9473189087488241,0.9581351094196003,0.9612080925067077,0.9244161275593961,1.3508694626244933,5.851369142532349,0.20943951606750488,log_loss,1000
PC,IN,rfc,std,3,1006,32,1253,57,0.9620954003407155,0.9691714836223507,0.9463781749764817,0.9576392194193242,0.9607377256205366,0.923565372253786,1.3662202519724989,8.833423376083374,0.3121669292449951,log_loss,1500
PC,IN,rfc,std,3,1009,33,1252,54,0.962947189097104,0.9683301343570058,0.949200376293509,0.9586698337292161,0.9617597212206844,0.9252493550156062,1.3355186732764877,11.719726800918579,0.4198789596557617,log_loss,2000
PC,IN,rfc,std,4,999,39,1246,64,0.9561328790459966,0.9624277456647399,0.9397930385700847,0.9509757258448358,0.9547214220087777,0.9115054748852729,1.5811313028445773,0.4917175769805908,0.022938013076782227,gini,100
PC,IN,rfc,std,4,998,36,1249,65,0.956984667802385,0.965183752417795,0.9388523047977423,0.9518359561278016,0.9554183702977038,0.9132733496331569,1.550429724148566,2.376692533493042,0.1047203540802002,gini,500
PC,IN,rfc,std,4,1001,37,1248,62,0.9578364565587735,0.964354527938343,0.9416745061147695,0.9528795811518325,0.9564403658978518,0.9149511598477053,1.5197281454525546,4.732398509979248,0.21046757698059082,gini,1000
