dtype,enzyme,model,scaler,split,tp,fp,tn,fn,val_accuracy,val_precision,val_recall,val_f1,auc,mcc,val_loss,train_time,prediction_time,C,degree,kernel
PC,IN,svc,std,1,82,8,1277,981,0.5787904599659285,0.9111111111111111,0.07714016933207903,0.1422376409366869,0.5354572441991134,0.18385267227794913,15.181930665177537,0.09580373764038086,0.12463879585266113,0.2,3,poly
PC,IN,svc,std,1,660,95,1190,403,0.7879045996592845,0.8741721854304636,0.6208842897460018,0.7260726072607261,0.7734771643282539,0.5828917333191269,7.644693095306789,0.0967414379119873,0.3450784683227539,0.2,3,rbf
PC,IN,svc,std,1,515,328,957,548,0.626916524701874,0.6109134045077106,0.48447789275634995,0.540398740818468,0.6146124872342061,0.23784722666582503,13.447291468852907,0.08973288536071777,0.12962579727172852,0.2,3,sigmoid
PC,IN,svc,std,1,81,7,1278,982,0.5787904599659285,0.9204545454545454,0.0761994355597366,0.14074717636837533,0.535375982371308,0.18542195037573433,15.181930665177534,0.09175562858581543,0.12762856483459473,0.2,4,poly
PC,IN,svc,std,1,660,95,1190,403,0.7879045996592845,0.8741721854304636,0.6208842897460018,0.7260726072607261,0.7734771643282539,0.5828917333191269,7.644693095306789,0.09973597526550293,0.3450813293457031,0.2,4,rbf
PC,IN,svc,std,1,515,328,957,548,0.626916524701874,0.6109134045077106,0.48447789275634995,0.540398740818468,0.6146124872342061,0.23784722666582503,13.447291468852907,0.08674001693725586,0.1376173496246338,0.2,4,sigmoid
PC,IN,svc,std,1,85,7,1278,978,0.5804940374787053,0.9239130434782609,0.0799623706491063,0.1471861471861472,0.5372574499159929,0.19116036749122842,15.120527507785514,0.09278512001037598,0.12662959098815918,0.2,5,poly
PC,IN,svc,std,1,660,95,1190,403,0.7879045996592845,0.8741721854304636,0.6208842897460018,0.7260726072607261,0.7734771643282539,0.5828917333191269,7.644693095306789,0.09870791435241699,0.34410953521728516,0.2,5,rbf
PC,IN,svc,std,1,515,328,957,548,0.626916524701874,0.6109134045077106,0.48447789275634995,0.540398740818468,0.6146124872342061,0.23784722666582503,13.447291468852907,0.08577346801757812,0.12865591049194336,0.2,5,sigmoid
PC,IN,svc,std,1,92,8,1277,971,0.5830494037478705,0.92,0.08654750705550329,0.1582115219260533,0.5401609130608256,0.19799472335121643,15.028422771697484,0.09277725219726562,0.12668919563293457,1.0,3,poly
PC,IN,svc,std,1,764,116,1169,299,0.8232538330494037,0.8681818181818182,0.7187206020696143,0.78641276376737,0.8142241142643791,0.6462243800960924,6.370577579422324,0.08779311180114746,0.2872323989868164,1.0,3,rbf
PC,IN,svc,std,1,558,462,823,505,0.588160136286201,0.5470588235294118,0.5249294449670743,0.5357657225156025,0.5826981855185566,0.16609059815610158,14.844213299521416,0.07196402549743652,0.09875631332397461,1.0,3,sigmoid
PC,IN,svc,std,1,91,8,1277,972,0.5826235093696763,0.9191919191919192,0.08560677328316087,0.1566265060240964,0.5396905461746544,0.19661784960327092,15.043773561045485,0.09676671028137207,0.12566351890563965,1.0,4,poly
PC,IN,svc,std,1,764,116,1169,299,0.8232538330494037,0.8681818181818182,0.7187206020696143,0.78641276376737,0.8142241142643791,0.6462243800960924,6.370577579422324,0.08680009841918945,0.28523755073547363,1.0,4,rbf
PC,IN,svc,std,1,558,462,823,505,0.588160136286201,0.5470588235294118,0.5249294449670743,0.5357657225156025,0.5826981855185566,0.16609059815610158,14.844213299521416,0.07203984260559082,0.10070252418518066,1.0,4,sigmoid
PC,IN,svc,std,1,93,7,1278,970,0.583901192504259,0.93,0.08748824082784572,0.15993121238177127,0.5410203850053625,0.20223195046876224,14.997721193001471,0.09876394271850586,0.1266334056854248,1.0,5,poly
PC,IN,svc,std,1,764,116,1169,299,0.8232538330494037,0.8681818181818182,0.7187206020696143,0.78641276376737,0.8142241142643791,0.6462243800960924,6.370577579422324,0.08679437637329102,0.28922128677368164,1.0,5,rbf
PC,IN,svc,std,1,558,462,823,505,0.588160136286201,0.5470588235294118,0.5249294449670743,0.5357657225156025,0.5826981855185566,0.16609059815610158,14.844213299521416,0.07226371765136719,0.10072565078735352,1.0,5,sigmoid
PC,IN,svc,std,1,101,9,1276,962,0.5864565587734242,0.9181818181818182,0.09501411100658513,0.17220801364023872,0.5440051099780008,0.20731222788071965,14.905616456913439,0.09374570846557617,0.12364053726196289,2.0,3,poly
PC,IN,svc,std,1,818,136,1149,245,0.8377342419080068,0.8574423480083857,0.7695202257761053,0.8111056023797719,0.8318418249503094,0.6726261392368882,5.848650741590134,0.08679652214050293,0.27230072021484375,2.0,3,rbf
